Filter1;Start1;End1;Filter2;Start2;End2;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;LucentOMS;2023-02-01T00:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;C-NMS;2023-02-01T00:00:00Z;2023-02-01T04:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;NetAct;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;SolMan;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;SCOM;2023-02-02T06:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;Impact;2023-02-02T06:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;SkyWalker;2023-02-02T07:00:00Z;2023-02-02T11:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;CA_Spectrum;2023-02-02T07:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;StruxureWare;2023-02-02T09:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;C-NMS;2023-02-02T09:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;LucentOMS;2023-02-02T09:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;NetAct;2023-02-02T09:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;Zabbix;2023-02-02T09:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;EML;2023-02-02T09:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;SDH;2023-02-02T09:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;HA;2023-02-02T09:00:00Z;2023-02-02T16:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;Stonebranch;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;DICA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;PEM;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;NFM-P;2023-02-02T10:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;local6;2023-02-02T10:00:00Z;2023-02-02T16:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;SCOM;2023-02-04T21:00:00Z;2023-02-04T23:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;Zabbix;2023-02-04T21:00:00Z;2023-02-04T23:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;SkyWalker;2023-02-04T21:00:00Z;2023-02-04T23:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;NetAct;2023-02-04T22:00:00Z;2023-02-05T00:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;Impact;2023-02-04T22:00:00Z;2023-02-05T00:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;ADVA;2023-02-04T22:00:00Z;2023-02-05T00:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;SDH;2023-02-04T22:00:00Z;2023-02-05T00:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;DICA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;CA_Spectrum;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;NFM-P;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;LucentOMS;2023-02-04T22:00:00Z;2023-02-05T02:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;UNEM;2023-02-04T22:00:00Z;2023-02-05T02:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;EML;2023-02-04T22:00:00Z;2023-02-05T04:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;Stonebranch;2023-02-04T23:00:00Z;2023-02-05T05:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;HA;2023-02-05T00:00:00Z;2023-02-05T02:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;Zabbix;2023-02-05T00:00:00Z;2023-02-05T04:00:00Z;;;
EMMA;2023-02-04T22:00:00Z;2023-02-05T01:00:00Z;ADVA;2023-02-05T01:00:00Z;2023-02-05T03:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;Stonebranch;2023-02-11T19:00:00Z;2023-02-12T02:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;CA_Spectrum;2023-02-11T21:00:00Z;2023-02-12T03:00:00Z;;;
