"Filter1","Start1","End1","Filter2","Start2","End2"
"EMMA",2024-03-22 08:00:00,2024-03-22 10:00:00,"HA",2024-03-22 10:00:00,2024-03-22 12:00:00
"EMMA",2024-03-22 08:00:00,2024-03-22 10:00:00,"Impact",2024-03-22 10:00:00,2024-03-22 12:00:00
"EMMA",2024-03-22 08:00:00,2024-03-22 10:00:00,"StruxureWare",2024-03-22 10:00:00,2024-03-22 12:00:00
"EMMA",2024-03-22 08:00:00,2024-03-22 10:00:00,"CA_Spectrum",2024-03-22 10:00:00,2024-03-22 13:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"DICA",2024-03-15 11:00:00,2024-03-15 15:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"SkyWalker",2024-03-15 13:00:00,2024-03-15 15:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"Zabbix",2024-03-15 13:00:00,2024-03-15 16:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"OCC",2024-03-15 14:00:00,2024-03-15 16:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"NFM-P",2024-03-15 14:00:00,2024-03-15 16:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"CA_Spectrum",2024-03-15 16:00:00,2024-03-15 18:00:00
"EMMA",2024-03-15 15:00:00,2024-03-15 18:00:00,"Impact",2024-03-15 16:00:00,2024-03-15 18:00:00
"EMMA",2024-03-15 05:00:00,2024-03-15 07:00:00,"NFM-P",2024-03-15 03:00:00,2024-03-15 06:00:00
"EMMA",2024-03-15 05:00:00,2024-03-15 07:00:00,"HA",2024-03-15 05:00:00,2024-03-15 07:00:00
"EMMA",2024-03-15 05:00:00,2024-03-15 07:00:00,"SCADA",2024-03-15 06:00:00,2024-03-15 08:00:00
"EMMA",2024-03-15 05:00:00,2024-03-15 07:00:00,"NetAct",2024-03-15 07:00:00,2024-03-15 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"NetAct",2024-03-14 07:00:00,2024-03-14 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"SCOM",2024-03-14 08:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"CA_Spectrum",2024-03-14 08:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"LucentOMS",2024-03-14 09:00:00,2024-03-14 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"NFM-P",2024-03-14 09:00:00,2024-03-14 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"EML",2024-03-14 09:00:00,2024-03-14 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"Impact",2024-03-14 09:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"Zabbix",2024-03-14 10:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"HA",2024-03-14 10:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"MileStone",2024-03-14 10:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"DICA",2024-03-14 11:00:00,2024-03-14 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"UNEM",2024-03-14 11:00:00,2024-03-14 13:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"SkyWalker",2024-03-14 12:00:00,2024-03-14 14:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"Stonebranch",2024-03-14 12:00:00,2024-03-14 15:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"SCADA",2024-03-14 12:00:00,2024-03-14 16:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"C-NMS",2024-03-14 13:00:00,2024-03-14 18:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"NFM-P",2024-03-14 14:00:00,2024-03-14 17:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"LucentOMS",2024-03-14 14:00:00,2024-03-14 18:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"DICA",2024-03-14 15:00:00,2024-03-14 17:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"UNEM",2024-03-14 15:00:00,2024-03-14 18:00:00
"EMMA",2024-03-14 13:00:00,2024-03-14 15:00:00,"NetAct",2024-03-14 15:00:00,2024-03-14 18:00:00
"EMMA",2024-03-13 22:00:00,2024-03-14,"EML",2024-03-13 19:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"Stonebranch",2024-03-13 20:00:00,2024-03-13 22:00:00
"EMMA",2024-03-13 22:00:00,2024-03-14,"LucentOMS",2024-03-13 20:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"NFM-P",2024-03-13 20:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"DICA",2024-03-13 22:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"MileStone",2024-03-13 22:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"NetAct",2024-03-13 22:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"ADVA",2024-03-13 22:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"SDH",2024-03-13 22:00:00,2024-03-14
"EMMA",2024-03-13 22:00:00,2024-03-14,"CA_Spectrum",2024-03-13 22:00:00,2024-03-14 01:00:00
"EMMA",2024-03-13 22:00:00,2024-03-14,"Impact",2024-03-13 22:00:00,2024-03-14 01:00:00
"EMMA",2024-03-13 22:00:00,2024-03-14,"HA",2024-03-13 22:00:00,2024-03-14 02:00:00
"EMMA",2024-03-13 22:00:00,2024-03-14,"Zabbix",2024-03-13 22:00:00,2024-03-14 05:00:00
"EMMA",2024-03-13 22:00:00,2024-03-14,"SCOM",2024-03-14,2024-03-14 03:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"CA_Spectrum",2024-02-28 07:00:00,2024-02-28 13:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"NetAct",2024-02-28 08:00:00,2024-02-28 13:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"SCOM",2024-02-28 08:00:00,2024-02-28 14:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"C-NMS",2024-02-28 09:00:00,2024-02-28 11:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"SCADA",2024-02-28 09:00:00,2024-02-28 11:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"LucentOMS",2024-02-28 09:00:00,2024-02-28 13:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"NFM-P",2024-02-28 09:00:00,2024-02-28 13:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"StruxureWare",2024-02-28 09:00:00,2024-02-28 13:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"Impact",2024-02-28 09:00:00,2024-02-28 14:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"SkyWalker",2024-02-28 10:00:00,2024-02-28 12:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"EML",2024-02-28 11:00:00,2024-02-28 13:00:00
